journal_id,journal_name,profile_url,google_scholar_url,website_url,editor_url,affiliation,affiliation_url,p_issn,e_issn,subject_area,accreditation,is_scopus_indexed,is_garuda_indexed,garuda_url,impact_score,h5_index,citations_5yr,citations_total,cover_image_url,source_file,extraction_index,extracted_at
16,Forum Geografi,https://sinta.kemdiktisaintek.go.id/journals/profile/16,,http://journals.ums.ac.id/index.php/fg/about/editorialTeam,,"Fakultas Geografi, Universitas Muhammadiyah Surakarta",https://sinta.kemdiktisaintek.go.id/affiliations/profile/27,08520682,24603945,Science,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/8143,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page8_20260112_053918.html,5,2026-01-12T07:15:24.893435
12647,The Indonesian Journal of Socio-Legal Studies,https://sinta.kemdiktisaintek.go.id/journals/profile/12647,https://scholar.google.co.id/citations?user=ckPapgMAAAAJ&hl=en,https://scholarhub.ui.ac.id/ijsls/editorialboard.html,,Universitas Indonesia,https://sinta.kemdiktisaintek.go.id/affiliations/profile/430,0,28082591,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/29415,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=ckPapgMAAAAJ&citpid=2,sinta_journals_page8_20260112_053918.html,6,2026-01-12T07:15:24.895415
6735,Jambe Law Journal,https://sinta.kemdiktisaintek.go.id/journals/profile/6735,https://scholar.google.co.id/citations?user=85iTj2gAAAAJ&hl=en,http://jlj.unja.ac.id/index.php/home/editorialboard,,"Fakultas Hukum, Universitas Jambi",https://sinta.kemdiktisaintek.go.id/affiliations/profile/491,25987925,2598795,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/12599,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=85iTj2gAAAAJ&citpid=2,sinta_journals_page8_20260112_053918.html,7,2026-01-12T07:15:24.897419
58,Yuridika,https://sinta.kemdiktisaintek.go.id/journals/profile/58,https://scholar.google.co.id/citations?user=0a2GJY8AAAAJ&hl=en,https://e-journal.unair.ac.id/YDK/about/editorialTeam,,Universitas Airlangga,https://sinta.kemdiktisaintek.go.id/affiliations/profile/380,0215840,25283103,Social,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/25350,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=0a2GJY8AAAAJ&citpid=2,sinta_journals_page8_20260112_053918.html,8,2026-01-12T07:15:24.898416
1990,LAW REFORM,https://sinta.kemdiktisaintek.go.id/journals/profile/1990,https://scholar.google.co.id/citations?user=CaHI-vgAAAAJ&hl=en,https://ejournal.undip.ac.id/index.php/lawreform/about/editorialTeam,,Universitas Diponegoro,https://sinta.kemdiktisaintek.go.id/affiliations/profile/6,18584810,25808508,Social,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/1277,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=CaHI-vgAAAAJ&citpid=2,sinta_journals_page8_20260112_053918.html,9,2026-01-12T07:15:24.899415
865,Jurnal Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/journals/profile/865,,https://jurnal.ugm.ac.id/jsp/about/editorialTeam,,"Fakultas Ilmu Sosial dan Ilmu Politik, Universitas Gadjah Mada",https://sinta.kemdiktisaintek.go.id/affiliations/profile/384,14104946,25027883,Social,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/8864,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page8_20260112_053918.html,10,2026-01-12T07:15:24.901415
1298,Jurnal IUS (Kajian Hukum dan Keadilan),https://sinta.kemdiktisaintek.go.id/journals/profile/1298,https://scholar.google.co.id/citations?user=9LQVnr0AAAAJ&hl=en,http://jurnalius.ac.id/ojs/index.php/jurnalIUS/about/editorialTeam,,Universitas Mataram,https://sinta.kemdiktisaintek.go.id/affiliations/profile/399,23033827,2477815,Social,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/8948,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=9LQVnr0AAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,1,2026-01-12T07:15:24.971411
5,Sinergi,https://sinta.kemdiktisaintek.go.id/journals/profile/5,https://scholar.google.co.id/citations?user=vVtTIPwAAAAJ&hl=en,https://publikasi.mercubuana.ac.id/index.php/sinergi/about/editorialTeam,,Universitas Mercu Buana,https://sinta.kemdiktisaintek.go.id/affiliations/profile/1066,14102331,24601217,Engineering,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/7211,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=vVtTIPwAAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,2,2026-01-12T07:15:24.972410
151,Journal of Information Systems Engineering and Business Intelligence,https://sinta.kemdiktisaintek.go.id/journals/profile/151,,https://e-journal.unair.ac.id/JISEBI/about/editorialTeam,,Universitas Airlangga,https://sinta.kemdiktisaintek.go.id/affiliations/profile/380,25986333,24432555,Science,S1,False,False,,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page9_20260112_054052.html,3,2026-01-12T07:15:24.972410
10818,Mechanical Engineering for Society and Industry,https://sinta.kemdiktisaintek.go.id/journals/profile/10818,https://scholar.google.co.id/citations?user=5CuH0goAAAAJ&hl=en,https://journal.unimma.ac.id/index.php/mesi/about/editorialTeam,,Universitas Muhammadiyah Magelang,https://sinta.kemdiktisaintek.go.id/affiliations/profile/17,0,27985245,,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/23733,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=5CuH0goAAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,4,2026-01-12T07:15:24.973410
3602,Caraka Tani: Journal of Sustainable Agriculture,https://sinta.kemdiktisaintek.go.id/journals/profile/3602,https://scholar.google.co.id/citations?user=RWsy9U4AAAAJ&hl=en,http://jurnal.uns.ac.id/carakatani/about/editorialTeam,,"Fakultas Pertanian, Universitas Sebelas Maret",https://sinta.kemdiktisaintek.go.id/affiliations/profile/8,26139456,25992570,Agriculture,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/10977,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=RWsy9U4AAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,5,2026-01-12T07:15:24.975436
783,ILMU KELAUTAN: Indonesian Journal of Marine Sciences,https://sinta.kemdiktisaintek.go.id/journals/profile/783,,http://ejournal.undip.ac.id/index.php/ijms/about/editorialTeam,,Departemen Ilmu Kelautan Universitas Diponegoro dan Himpunan Ahli Pengelolaan Pesisir Indonesia,https://sinta.kemdiktisaintek.go.id/affiliations/profile/6,08537291,24067598,Science,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/1242,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page9_20260112_054052.html,6,2026-01-12T07:15:24.976435
107,Script Journal: Journal of Linguistic and English Teaching,https://sinta.kemdiktisaintek.go.id/journals/profile/107,,https://jurnal.fkip-uwgm.ac.id/index.php/Script/about/editorialTeam,,Program Studi Bahasa Inggris Fakultas Keguruan dan Ilmu Pendidikan Universitas Widya Gama Mahakam Samarinda,https://sinta.kemdiktisaintek.go.id/affiliations/profile/3138,24771880,25026623,Education,S1,False,False,,,,,,https://sinta.kemdiktisaintek.go.id/public/assets/img/cover-journal-big.jpg,sinta_journals_page9_20260112_054052.html,7,2026-01-12T07:15:24.976435
900,Jurnal Penelitian Kehutanan Wallacea,https://sinta.kemdiktisaintek.go.id/journals/profile/900,https://scholar.google.co.id/citations?user=LElEbp4AAAAJ&hl=en,https://journal.unhas.ac.id/index.php/wallacea/about/editorialTeam,,Universitas Hasanuddin,https://sinta.kemdiktisaintek.go.id/affiliations/profile/8101,2302299,24077860,"Science, Agriculture",S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/30942,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=LElEbp4AAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,8,2026-01-12T07:15:24.977434
94,AGRARIS: Journal of Agribusiness and Rural Development Research,https://sinta.kemdiktisaintek.go.id/journals/profile/94,https://scholar.google.co.id/citations?user=fxAiK-EAAAAJ&hl=en,https://agraris.umy.ac.id/index.php/agraris/edit-team,,Universitas Muhammadiyah Yogyakarta,https://sinta.kemdiktisaintek.go.id/affiliations/profile/1872,2407814,25279238,"Economy, Agriculture, Social",S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/35522,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=fxAiK-EAAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,9,2026-01-12T07:15:24.979416
1017,IJAIN (International Journal of Advances in Intelligent Informatics),https://sinta.kemdiktisaintek.go.id/journals/profile/1017,https://scholar.google.co.id/citations?user=B7eIiVIAAAAJ&hl=en,http://ijain.org/index.php/IJAIN/about/editorialTeam,,Universitas Ahmad Dahlan,https://sinta.kemdiktisaintek.go.id/affiliations/profile/386,25483161,25483161,Science,S1,False,True,https://garuda.kemdiktisaintek.go.id/journal/view/7681,,,,,https://scholar.google.com/citations?view_op=medium_photo&user=B7eIiVIAAAAJ&citpid=2,sinta_journals_page9_20260112_054052.html,10,2026-01-12T07:15:24.981443
